dataset,model,base_model,family,output_transformation,seq_len,pred_len,features,mse_NN,mse_RR,mse_NR,mse_RN,mae_NN,mae_RR,mae_NR,mae_RN,RR_over_NN,NR_over_NN,RN_over_NN,RR_over_RN,RR_over_NR,NR_over_RR,NR_over_RN,mismatch_over_matched,interaction,log_RR_over_NN,log_NR_over_NN,log_RN_over_NN,log_mismatch_over_matched,log_interaction,abs_log_interaction,direction_asymmetry_NR_over_RN,abs_log_direction_asymmetry
traffic,ols,dlinear_ols,linear,raw,96,720,M,0.6456079473866364,0.664829196922981,0.664711540934359,0.6453045998816452,0.3949643513422158,0.4004566658166878,0.4015074408281461,0.3936585384859138,1.0297723248515613,1.0295900842377363,0.999530136662321,1.030256404564475,1.0001770030778412,0.9998230282467038,1.0300740782822146,0.9996787304942925,1.0006471704972102,0.029337733974319966,0.029160746559675158,-0.0004699737580466789,-0.00032132112381103755,0.0006469611726915288,0.0006469611726915288,1.0300740782822146,0.02963072031772188
weather,ols,dlinear_ols,linear,raw,96,96,M,0.195037645364608,0.1936322870333997,0.1943434650864698,0.1942468881161027,0.2533440101144976,0.2495028987770713,0.2513551742508625,0.2513892270677259,0.9927944252578467,0.9964407882547983,0.9959456173344021,0.9968359797746895,0.9963406124679641,1.0036728278324132,1.0004971867055568,0.9997952525039839,1.000396603114354,-0.007231660278892052,-0.0035655608089101842,-0.004062623958108884,-0.00020476845964617843,0.0003965244881271702,0.0003965244881271702,1.0004971867055568,0.000497063149198694
weather,ols,dlinear_ols,linear,raw,96,192,M,0.2354719921656459,0.2327570122780564,0.2337256266089449,0.2343707042745374,0.2923500575944353,0.2886032196196126,0.2909818211339663,0.289852430937258,0.9884700517347319,0.9925835529710365,0.9953230620721389,0.99311478795323,0.9958557632513737,1.0041614829190681,0.9972476181799714,0.9997166481380673,1.000535204296508,-0.011596933507473262,-0.00744408561040624,-0.004687909022837248,-0.0002833920136564546,0.0005350611257700585,0.0005350611257700585,0.9972476181799714,0.0027561765875690836
weather,ols,dlinear_ols,linear,raw,96,336,M,0.2812729100756499,0.2736733512229941,0.2749141255043434,0.2797619322727223,0.3303264939738943,0.327061065617157,0.3298627735778339,0.3274345989650091,0.9729815471720619,0.9773928297268433,0.9946280720652364,0.978236563494304,0.9954866841451924,1.0045337782279662,0.982671671127675,0.9995130996631171,1.0008632493934875,-0.02739016185565735,-0.022866630241292003,-0.00538640862238751,-0.00048701891134280957,0.0008628770080220721,0.0008628770080220721,0.982671671127675,0.017480221618904394
weather,ols,dlinear_ols,linear,raw,96,720,M,0.3450693811500002,0.3267928583390224,0.3284954342946988,0.3422565031222454,0.3806315498267627,0.3741215511428444,0.3779209325230208,0.3763703304431792,0.9470352230323412,0.9519692335493054,0.9918483696861762,0.9548185508758622,0.9948170483424467,1.0052099546003852,0.959793112177531,0.9983474259947652,1.002993077114408,-0.05441899215581711,-0.049222562413309315,-0.008185036519431164,-0.0016539410119168906,0.0029886067769234895,0.0029886067769234895,0.959793112177531,0.04103752589387818
ETTh1,revin_ols,dlinear_ols,linear,revin_current_no_floor,96,96,M,0.3877805307048282,0.384686281552737,0.3861475104045938,0.3849447390529718,0.3951896230633527,0.3941213803777332,0.3941205070624773,0.394371059277312,0.9920206175733807,0.9957888027610199,0.9926871221546318,0.9993285854461328,0.9962158791330138,1.0037984948305376,1.0031245299119582,0.9982205542319904,1.0035547524488104,-0.008011388069111615,-0.004220089303010385,-0.007339748015551339,-0.001781030862302225,0.003548449249449938,0.003548449249449938,1.0031245299119582,0.003119658712540776
ETTh1,revin_ols,dlinear_ols,linear,revin_current_no_floor,96,192,M,0.441069516182786,0.4360205642409049,0.4414641588067448,0.4341594132265543,0.4260918135529075,0.423736614378568,0.4246950629884016,0.4224134877952909,0.9885529338196459,1.0008947401928254,0.9843333018884759,1.004286791804234,0.9876692264655105,1.0124847197868223,1.0168250309855165,0.9983279842936048,1.0033890193196089,-0.011513088164684451,0.0008943401514233958,-0.015790717851658927,-0.0016734150847289788,0.0033832895355509892,0.0033832895355509892,1.0168250309855165,0.01668505800308213
ETTh1,revin_ols,dlinear_ols,linear,revin_current_no_floor,96,336,M,0.4863167475362365,0.4840750748225708,0.4896081699092814,0.4715157974478554,0.4512429967841456,0.4488102946573011,0.447700782037045,0.4406437233971702,0.9953905089120981,1.0067680629748406,0.9695652058799841,1.0266359630847879,0.9886989322753011,1.011430241659806,1.0383706602394946,0.9904493681952694,1.0197343368752092,-0.0046201475518068925,0.006745262455709834,-0.030907549335738856,-0.00959653157029399,0.019542139328222106,0.019542139328222106,1.0383706602394946,0.03765281179144875
ETTh1,revin_ols,dlinear_ols,linear,revin_current_no_floor,96,720,M,0.487736560739837,0.5349604785739234,0.5054957343445979,0.4496993904738839,0.476157852259817,0.4905604852513713,0.4680321810088074,0.4475333774994612,1.0968225916106298,1.0364114053246745,0.9220128788207812,1.1895957386337417,1.0582888088413407,0.9449216429821669,1.1240747598343797,0.9339961768730913,1.1478026317754382,0.09241744680240524,0.03576417439697816,-0.08119608717084248,-0.06828293404530006,0.1378493595762696,0.1378493595762696,1.1240747598343797,0.11696026156782079
ETTh2,revin_ols,dlinear_ols,linear,revin_current_no_floor,96,96,M,0.3836778179515689,0.3414356086924678,0.3868333122904128,0.3426978072420585,0.4033278817240718,0.3752784190941909,0.4074589327133692,0.3743160086989507,0.8899018726580818,1.0082243335194379,0.8931916081875673,0.9963168759095702,0.8826427245131802,1.1329612449380897,1.128788408083335,1.0060924163394416,0.9881896744464578,-0.11664407777488686,0.008190697982591038,-0.11295415428242897,0.006073932606753383,-0.011880621475048916,0.011880621475048916,1.128788408083335,0.12114485226502011
ETTh2,revin_ols,dlinear_ols,linear,revin_current_no_floor,96,192,M,0.8629460838396449,0.4841666124827012,0.9145200888257464,0.4996567392136108,0.6282289809629799,0.4627149010359055,0.6407688208028548,0.4606632460156998,0.5610624134574211,1.059765037413027,0.5790126968192586,0.9689984633144569,0.5294215167043256,1.888854095362516,1.8302967158314967,1.0497836089735462,0.9143521715717865,-0.5779231257129037,0.05804722073524324,-0.5464308727734818,0.048584056238790856,-0.08953947367466536,0.08953947367466536,1.8302967158314967,0.6044780935087252
ETTh2,revin_ols,dlinear_ols,linear,revin_current_no_floor,96,336,M,2.140319257108673,0.5122490794618839,2.5591705471444985,0.5059719946488119,1.020558171699907,0.4871420422118033,1.110123823833273,0.4716764488008424,0.2393330236881922,1.1956957069113352,0.2364002440142142,1.0124059925835003,0.20016215020661568,4.995949528758352,5.05792924155967,1.155537634802714,0.8467087292624805,-1.4298992923847862,0.17872819749732227,-1.4422289612416987,0.1445657203470468,-0.16639852864041008,0.16639852864041008,5.05792924155967,1.620957158739021
ETTh2,revin_ols,dlinear_ols,linear,revin_current_no_floor,96,720,M,5.322574292908107,0.8287069294646427,7.125882954190162,0.6831219872494032,1.5346857462693049,0.6493795122359453,1.805573997795868,0.563395649617041,0.15569663923128826,1.3388038497996761,0.12834428411071822,1.2131170492717394,0.11629533277379282,8.598797356254268,10.43134767610481,1.2694924291605347,0.9061200783469937,-1.8598457852737398,0.2917765659108614,-2.053038906270053,0.23861715850600668,-0.09858344491454801,0.09858344491454801,10.43134767610481,2.3448154721809145
ETTm1,revin_ols,dlinear_ols,linear,revin_current_no_floor,96,96,M,0.554379438188006,0.6337182629632185,0.5569451125354166,0.6308674700157745,0.4829419128772528,0.5203293420535068,0.4815538439635479,0.5183826059758597,1.1431128561234742,1.004628011377544,1.1379705424821858,1.004518846006393,1.137846887780921,0.8788528674101697,0.8828242681802733,0.9997600209143092,0.9998913375200424,0.1337551167044642,0.004617335060294565,0.12924645002832216,-0.00024000788527925386,-0.00010866838415254407,0.00010866838415254407,0.8828242681802733,0.12462911496802748
