source,model,dataset,case,lr,seq_len,pred_len,mae,mse,result_dir
deep_ltsf,DLinear,ETTh1,RR,0p01,96,336,0.4776183068752289,0.517169713973999,analysis_input/extracted_bundle_20260718/server_extracted/tsl/results/long_term_forecast_DLinear_ETTh1_RR_lr0p01_s96_p336_DLinear_ETTh1_ftM_sl96_ll48_pl336_dm512_nh8_el2_dl1_df2048_expand2_dc4_fc3_ebtimeF_dtTrue_rev_RR_lr_0p01_0
deep_ltsf,DLinear,ETTh1,RR,0p01,96,96,0.39326873421669006,0.38041451573371887,analysis_input/extracted_bundle_20260718/server_extracted/tsl/results/long_term_forecast_DLinear_ETTh1_RR_lr0p01_s96_p96_DLinear_ETTh1_ftM_sl96_ll48_pl96_dm512_nh8_el2_dl1_df2048_expand2_dc4_fc3_ebtimeF_dtTrue_rev_RR_lr_0p01_0
deep_ltsf,DLinear,ETTh2,NN,0p0001,96,336,0.4927561581134796,0.48809194564819336,analysis_input/extracted_bundle_20260718/server_extracted/tsl/results/long_term_forecast_DLinear_ETTh2_NN_lr0p0001_s96_p336_DLinear_ETTh2_ftM_sl96_ll48_pl336_dm512_nh8_el2_dl1_df2048_expand2_dc4_fc3_ebtimeF_dtTrue_rev_NN_lr_0p0001_0
deep_ltsf,DLinear,ETTh2,NN,0p0001,96,96,0.42748892307281494,0.37983036041259766,analysis_input/extracted_bundle_20260718/server_extracted/tsl/results/long_term_forecast_DLinear_ETTh2_NN_lr0p0001_s96_p96_DLinear_ETTh2_ftM_sl96_ll48_pl96_dm512_nh8_el2_dl1_df2048_expand2_dc4_fc3_ebtimeF_dtTrue_rev_NN_lr_0p0001_0
deep_ltsf,DLinear,ETTh2,NN,0p0003,96,336,0.5599446892738342,0.6223798394203186,analysis_input/extracted_bundle_20260718/server_extracted/tsl/results/long_term_forecast_DLinear_ETTh2_NN_lr0p0003_s96_p336_DLinear_ETTh2_ftM_sl96_ll48_pl336_dm512_nh8_el2_dl1_df2048_expand2_dc4_fc3_ebtimeF_dtTrue_rev_NN_lr_0p0003_0
deep_ltsf,DLinear,ETTh2,NN,0p0003,96,96,0.4261768162250519,0.37878885865211487,analysis_input/extracted_bundle_20260718/server_extracted/tsl/results/long_term_forecast_DLinear_ETTh2_NN_lr0p0003_s96_p96_DLinear_ETTh2_ftM_sl96_ll48_pl96_dm512_nh8_el2_dl1_df2048_expand2_dc4_fc3_ebtimeF_dtTrue_rev_NN_lr_0p0003_0
deep_ltsf,DLinear,ETTh2,NN,0p001,96,336,0.543483555316925,0.598949670791626,analysis_input/extracted_bundle_20260718/server_extracted/tsl/results/long_term_forecast_DLinear_ETTh2_NN_lr0p001_s96_p336_DLinear_ETTh2_ftM_sl96_ll48_pl336_dm512_nh8_el2_dl1_df2048_expand2_dc4_fc3_ebtimeF_dtTrue_rev_NN_lr_0p001_0
deep_ltsf,DLinear,ETTh2,NN,0p001,96,96,0.40072521567344666,0.34844374656677246,analysis_input/extracted_bundle_20260718/server_extracted/tsl/results/long_term_forecast_DLinear_ETTh2_NN_lr0p001_s96_p96_DLinear_ETTh2_ftM_sl96_ll48_pl96_dm512_nh8_el2_dl1_df2048_expand2_dc4_fc3_ebtimeF_dtTrue_rev_NN_lr_0p001_0
deep_ltsf,DLinear,ETTh2,NN,0p003,96,336,0.5326898694038391,0.5803921818733215,analysis_input/extracted_bundle_20260718/server_extracted/tsl/results/long_term_forecast_DLinear_ETTh2_NN_lr0p003_s96_p336_DLinear_ETTh2_ftM_sl96_ll48_pl336_dm512_nh8_el2_dl1_df2048_expand2_dc4_fc3_ebtimeF_dtTrue_rev_NN_lr_0p003_0
deep_ltsf,DLinear,ETTh2,NN,0p003,96,96,0.3740040957927704,0.3174961507320404,analysis_input/extracted_bundle_20260718/server_extracted/tsl/results/long_term_forecast_DLinear_ETTh2_NN_lr0p003_s96_p96_DLinear_ETTh2_ftM_sl96_ll48_pl96_dm512_nh8_el2_dl1_df2048_expand2_dc4_fc3_ebtimeF_dtTrue_rev_NN_lr_0p003_0
deep_ltsf,DLinear,ETTh2,NN,0p005,336,336,0.4710407257080078,0.4631212055683136,analysis_input/extracted_bundle_20260718/server_extracted/tsl/results/long_term_forecast_DLinear_ETTh2_NN_lr0p005_s336_p336_DLinear_ETTh2_ftM_sl336_ll168_pl336_dm512_nh8_el2_dl1_df2048_expand2_dc4_fc3_ebtimeF_dtTrue_rev_NN_lr_0p005_0
deep_ltsf,DLinear,ETTh2,NN,0p005,336,96,0.3503585457801819,0.286091685295105,analysis_input/extracted_bundle_20260718/server_extracted/tsl/results/long_term_forecast_DLinear_ETTh2_NN_lr0p005_s336_p96_DLinear_ETTh2_ftM_sl336_ll168_pl96_dm512_nh8_el2_dl1_df2048_expand2_dc4_fc3_ebtimeF_dtTrue_rev_NN_lr_0p005_0
deep_ltsf,DLinear,ETTh2,NN,0p005,96,336,0.5197433233261108,0.554714024066925,analysis_input/extracted_bundle_20260718/server_extracted/tsl/results/long_term_forecast_DLinear_ETTh2_NN_lr0p005_s96_p336_DLinear_ETTh2_ftM_sl96_ll48_pl336_dm512_nh8_el2_dl1_df2048_expand2_dc4_fc3_ebtimeF_dtTrue_rev_NN_lr_0p005_0
