family,metric,subgroup,comparison,n_blocks,median_delta_NN_minus_other,mean_delta_NN_minus_other,NN_better_rate,other_better_rate,p_value,p_holm,significant_holm_0.05,p_label_holm
deep_m4_official,mase,model=GRU,NN_vs_RR,6,-13.956465000000001,-27.59692083333333,1.0,0.0,0.03125,0.1875,False,ns
deep_m4_official,mase,model=PatchTST,NN_vs_NR,6,0.0,-0.8299338333333331,0.3333333333333333,0.0,0.5,1.0,False,ns
deep_m4_official,mase,model=PatchTST,NN_vs_RN,6,-13.770691,-28.526173333333332,1.0,0.0,0.03125,0.1875,False,ns
deep_m4_official,mase,model=PatchTST,NN_vs_RR,6,-14.313040999999998,-28.706956666666667,1.0,0.0,0.03125,0.1875,False,ns
deep_m4_official,mase,model=TimeFilter,NN_vs_NR,6,0.0,-0.00019433333333333339,0.16666666666666666,0.0,1.0,1.0,False,ns
deep_m4_official,mase,model=TimeFilter,NN_vs_RN,6,-13.7450835,-27.24896766666667,1.0,0.0,0.03125,0.1875,False,ns
deep_m4_official,mase,model=TimeFilter,NN_vs_RR,6,-13.7450835,-27.2588995,1.0,0.0,0.03125,0.1875,False,ns
deep_m4_official,mase,model=TimeMixer,NN_vs_NR,6,-0.012026500000000051,-0.20258383333333338,0.8333333333333334,0.0,0.0625,0.1875,False,ns
deep_m4_official,mase,model=TimeMixer,NN_vs_RN,6,-14.8696135,-28.717956333333333,1.0,0.0,0.03125,0.1875,False,ns
deep_m4_official,mase,model=TimeMixer,NN_vs_RR,6,-14.8696135,-28.717956333333333,1.0,0.0,0.03125,0.1875,False,ns
deep_m4_official,mase,model=TimesNet,NN_vs_NR,6,-4.999999996257998e-07,6.66666666759852e-07,0.5,0.16666666666666666,0.875,1.0,False,ns
deep_m4_official,mase,model=TimesNet,NN_vs_RN,6,-13.2457205,-26.998954999999995,1.0,0.0,0.03125,0.1875,False,ns
deep_m4_official,mase,model=TimesNet,NN_vs_RR,6,-13.2457205,-26.998986000000002,1.0,0.0,0.03125,0.1875,False,ns
deep_m4_official,mase,model=iTransformer,NN_vs_NR,6,-0.002478499999999939,-0.026838166666666868,0.6666666666666666,0.0,0.125,0.25,False,ns
deep_m4_official,mase,model=iTransformer,NN_vs_RN,6,-14.122508,-27.5133835,1.0,0.0,0.03125,0.1875,False,ns
deep_m4_official,mase,model=iTransformer,NN_vs_RR,6,-14.122508,-27.5287325,1.0,0.0,0.03125,0.1875,False,ns
deep_m4_official,owa,ALL,NN_vs_NR,42,0.0,-0.0461117619047619,0.47619047619047616,0.023809523809523808,8.568689323510228e-05,0.00017137378647020455,True,***
deep_m4_official,owa,ALL,NN_vs_RN,42,-6.0180185,-8.609495166666667,1.0,0.0,4.547473508864641e-13,2.7284841053187847e-12,True,***
deep_m4_official,owa,ALL,NN_vs_RR,42,-6.0180185,-8.615666357142857,1.0,0.0,4.547473508864641e-13,2.7284841053187847e-12,True,***
deep_m4_official,owa,model=DLinear,NN_vs_NR,6,-0.0014530000000000376,-0.03474950000000002,0.5,0.0,0.25,0.5,False,ns
deep_m4_official,owa,model=DLinear,NN_vs_RN,6,-6.2414760000000005,-8.90623,1.0,0.0,0.03125,0.1875,False,ns
deep_m4_official,owa,model=DLinear,NN_vs_RR,6,-6.2414760000000005,-8.90623,1.0,0.0,0.03125,0.1875,False,ns
deep_m4_official,owa,model=GRU,NN_vs_NR,6,-0.0004609999999999892,-0.0042019999999999835,0.5,0.0,0.25,0.5,False,ns
deep_m4_official,owa,model=GRU,NN_vs_RN,6,-5.9971745,-8.512421333333334,1.0,0.0,0.03125,0.1875,False,ns
deep_m4_official,owa,model=GRU,NN_vs_RR,6,-5.9971745,-8.512843666666667,1.0,0.0,0.03125,0.1875,False,ns
deep_m4_official,owa,model=PatchTST,NN_vs_NR,6,0.0,-0.2224508333333333,0.3333333333333333,0.0,0.5,1.0,False,ns
deep_m4_official,owa,model=PatchTST,NN_vs_RN,6,-5.794994,-8.759717499999999,1.0,0.0,0.03125,0.1875,False,ns
deep_m4_official,owa,model=PatchTST,NN_vs_RR,6,-5.794994,-8.797000666666666,1.0,0.0,0.03125,0.1875,False,ns
deep_m4_official,owa,model=TimeFilter,NN_vs_NR,6,0.0,-0.0001163333333333294,0.16666666666666666,0.0,1.0,1.0,False,ns
deep_m4_official,owa,model=TimeFilter,NN_vs_RN,6,-5.939038,-8.419114833333333,1.0,0.0,0.03125,0.1875,False,ns
deep_m4_official,owa,model=TimeFilter,NN_vs_RR,6,-5.939038,-8.421190666666668,1.0,0.0,0.03125,0.1875,False,ns
deep_m4_official,owa,model=TimeMixer,NN_vs_NR,6,-0.005336000000000063,-0.0539871666666667,0.8333333333333334,0.0,0.0625,0.1875,False,ns
deep_m4_official,owa,model=TimeMixer,NN_vs_RN,6,-6.0935875,-8.832388166666666,1.0,0.0,0.03125,0.1875,False,ns
deep_m4_official,owa,model=TimeMixer,NN_vs_RR,6,-6.0935875,-8.832388166666666,1.0,0.0,0.03125,0.1875,False,ns
deep_m4_official,owa,model=TimesNet,NN_vs_NR,6,0.0,-1.66666666689963e-07,0.3333333333333333,0.16666666666666666,1.0,1.0,False,ns
deep_m4_official,owa,model=TimesNet,NN_vs_RN,6,-5.713925,-8.324672999999999,1.0,0.0,0.03125,0.1875,False,ns
deep_m4_official,owa,model=TimesNet,NN_vs_RR,6,-5.713925,-8.324702833333333,1.0,0.0,0.03125,0.1875,False,ns
deep_m4_official,owa,model=iTransformer,NN_vs_NR,6,-0.001616999999999924,-0.007276333333333292,0.6666666666666666,0.0,0.125,0.25,False,ns
deep_m4_official,owa,model=iTransformer,NN_vs_RN,6,-6.0772580000000005,-8.511921333333335,1.0,0.0,0.03125,0.1875,False,ns
deep_m4_official,owa,model=iTransformer,NN_vs_RR,6,-6.0772580000000005,-8.5153085,1.0,0.0,0.03125,0.1875,False,ns
deep_m4_official,smape,ALL,NN_vs_NR,42,-4.999999987376214e-07,-0.3563229999999999,0.5,0.023809523809523808,6.977779907723859e-05,0.00013955559815447718,True,***
deep_m4_official,smape,ALL,NN_vs_RN,42,-59.254776500000006,-57.31842571428571,1.0,0.0,4.547473508864641e-13,2.7284841053187847e-12,True,***
deep_m4_official,smape,ALL,NN_vs_RR,42,-59.254776500000006,-57.317395238095244,1.0,0.0,4.547473508864641e-13,2.7284841053187847e-12,True,***
