block_definition,metric,subgroup,family,case_a,case_b,n_blocks,wilcoxon_statistic,p_value,median_delta_a_minus_b,mean_delta_a_minus_b,a_better_rate,b_better_rate,p_holm,significant_holm_0.05,p_label_holm
model+dataset+seq_len+pred_len+lr,mae,model=PatchTST,deep_ltsf,NN,NR,30,216.0,0.7456546742469072,0.00014995038509368896,0.01562737226486206,0.4666666666666667,0.5333333333333333,0.7456546742469072,False,ns
model+dataset+seq_len+pred_len+lr,mae,model=PatchTST,deep_ltsf,NN,RN,30,186.0,0.3492113798856735,-0.0012963563203811646,-0.011068064471085865,0.5666666666666667,0.43333333333333335,0.698422759771347,False,ns
model+dataset+seq_len+pred_len+lr,mae,model=PatchTST,deep_ltsf,NN,RR,30,112.0,0.012047622352838516,0.0037069767713546753,0.032872139414151506,0.23333333333333334,0.7666666666666667,0.048190489411354065,True,*
model+dataset+seq_len+pred_len+lr,mae,model=PatchTST,deep_ltsf,NR,RN,30,169.0,0.19807579927146435,-0.0008184760808944702,-0.026695436735947927,0.5666666666666667,0.43333333333333335,0.594227397814393,False,ns
model+dataset+seq_len+pred_len+lr,mae,model=PatchTST,deep_ltsf,NR,RR,30,104.0,0.007111456245183945,0.0032093673944473267,0.01724476714928945,0.3333333333333333,0.6666666666666666,0.035557281225919724,True,*
model+dataset+seq_len+pred_len+lr,mae,model=PatchTST,deep_ltsf,RN,RR,30,76.0,0.0007978975772857666,0.006513476371765137,0.043940203885237374,0.23333333333333334,0.7666666666666667,0.0047873854637146,True,**
model+dataset+seq_len+pred_len+lr,mae,model=TimeFilter,deep_ltsf,NN,NR,26,162.0,0.7453929781913757,-0.0019099786877632141,-0.0014402384941394513,0.5769230769230769,0.4230769230769231,1.0,False,ns
model+dataset+seq_len+pred_len+lr,mae,model=TimeFilter,deep_ltsf,NN,RN,26,147.0,0.48335155844688416,-0.0003800317645072937,-0.03067967754143935,0.6153846153846154,0.38461538461538464,1.0,False,ns
model+dataset+seq_len+pred_len+lr,mae,model=TimeFilter,deep_ltsf,NN,RR,26,138.0,0.35332122445106506,0.00041019171476364136,0.034228647557588726,0.46153846153846156,0.5384615384615384,1.0,False,ns
model+dataset+seq_len+pred_len+lr,mae,model=TimeFilter,deep_ltsf,NR,RN,26,145.0,0.4524725079536438,-0.00042703747749328613,-0.0292394390472999,0.5769230769230769,0.4230769230769231,1.0,False,ns
model+dataset+seq_len+pred_len+lr,mae,model=TimeFilter,deep_ltsf,NR,RR,26,160.0,0.7078457474708557,0.0009804964065551758,0.035668886051728174,0.34615384615384615,0.6538461538461539,1.0,False,ns
model+dataset+seq_len+pred_len+lr,mae,model=TimeFilter,deep_ltsf,RN,RR,26,168.0,0.8612560033798218,0.0012950301170349121,0.06490832509902808,0.46153846153846156,0.5384615384615384,1.0,False,ns
model+dataset+seq_len+pred_len+lr,mae,model=TimeMixer,deep_ltsf,NN,NR,38,347.0,0.7415718131742324,-0.0009318143129348755,-153.19852625931563,0.631578947368421,0.3684210526315789,0.7415718131742324,False,ns
model+dataset+seq_len+pred_len+lr,mae,model=TimeMixer,deep_ltsf,NN,RN,38,290.0,0.24911091444664635,-0.0011110901832580566,-0.28821370946733577,0.631578947368421,0.3684210526315789,0.4982218288932927,False,ns
model+dataset+seq_len+pred_len+lr,mae,model=TimeMixer,deep_ltsf,NN,RR,38,241.0,0.060844782456115354,0.0014250129461288452,-2.474641922273134,0.3684210526315789,0.631578947368421,0.24337912982446142,False,ns
model+dataset+seq_len+pred_len+lr,mae,model=TimeMixer,deep_ltsf,NR,RN,38,264.0,0.1252131458822987,-0.0016607344150543213,152.9103125498483,0.631578947368421,0.3684210526315789,0.3756394376468961,False,ns
model+dataset+seq_len+pred_len+lr,mae,model=TimeMixer,deep_ltsf,NR,RR,38,218.0,0.026311931513191666,0.0033345818519592285,150.7238843370425,0.3157894736842105,0.6842105263157895,0.13155965756595833,False,ns
model+dataset+seq_len+pred_len+lr,mae,model=TimeMixer,deep_ltsf,RN,RR,38,205.0,0.015490193065488711,0.0035206228494644165,-2.186428212805798,0.3157894736842105,0.6842105263157895,0.09294115839293227,False,ns
model+dataset+seq_len+pred_len+lr,mae,model=TimesNet,deep_ltsf,NN,NR,30,73.0,0.0006084088236093521,-0.0277508944272995,-0.014009582002957661,0.8333333333333334,0.16666666666666666,0.0018252264708280563,True,**
model+dataset+seq_len+pred_len+lr,mae,model=TimesNet,deep_ltsf,NN,RN,30,32.0,5.144625902175903e-06,-0.03164812922477722,-0.03865723709265391,0.8,0.2,2.0578503608703613e-05,True,***
model+dataset+seq_len+pred_len+lr,mae,model=TimesNet,deep_ltsf,NN,RR,30,89.0,0.0023674946278333664,0.0041091591119766235,0.035376303891340895,0.26666666666666666,0.7333333333333333,0.004734989255666733,True,**
model+dataset+seq_len+pred_len+lr,mae,model=TimesNet,deep_ltsf,NR,RN,30,177.0,0.2621222734451294,0.003129437565803528,-0.024647655089696248,0.36666666666666664,0.6333333333333333,0.2621222734451294,False,ns
model+dataset+seq_len+pred_len+lr,mae,model=TimesNet,deep_ltsf,NR,RR,30,6.0,2.60770320892334e-08,0.04754193127155304,0.049385885894298556,0.06666666666666667,0.9333333333333333,1.564621925354004e-07,True,***
model+dataset+seq_len+pred_len+lr,mae,model=TimesNet,deep_ltsf,RN,RR,30,18.0,4.7124922275543213e-07,0.03817478567361832,0.0740335409839948,0.16666666666666666,0.8333333333333334,2.3562461137771606e-06,True,***
model+dataset+seq_len+pred_len+lr,mae,model=iTransformer,deep_ltsf,NN,NR,38,367.0,0.9657047467626398,-0.00042489171028137207,0.01896859901516061,0.5263157894736842,0.47368421052631576,0.9657047467626398,False,ns
model+dataset+seq_len+pred_len+lr,mae,model=iTransformer,deep_ltsf,NN,RN,38,165.0,0.0022788419882999733,-0.002795502543449402,-0.003701567257705488,0.7105263157894737,0.2894736842105263,0.007329617037612479,True,**
model+dataset+seq_len+pred_len+lr,mae,model=iTransformer,deep_ltsf,NN,RR,38,157.0,0.0014659234075224958,0.0038424134254455566,0.025651302776838605,0.2894736842105263,0.7105263157894737,0.007329617037612479,True,**
model+dataset+seq_len+pred_len+lr,mae,model=iTransformer,deep_ltsf,NR,RN,38,212.0,0.02071244606486289,-0.0024927034974098206,-0.0226701662728661,0.631578947368421,0.3684210526315789,0.04142489212972578,True,*
model+dataset+seq_len+pred_len+lr,mae,model=iTransformer,deep_ltsf,NR,RR,38,158.0,0.0015508286960539408,0.0023793429136276245,0.006682703761677993,0.34210526315789475,0.6578947368421053,0.007329617037612479,True,**
model+dataset+seq_len+pred_len+lr,mae,model=iTransformer,deep_ltsf,RN,RR,38,69.0,1.8788559827953577e-06,0.0074955374002456665,0.029352870034544093,0.13157894736842105,0.868421052631579,1.1273135896772146e-05,True,***
model+dataset+seq_len+pred_len,mse,ALL,shallow_ltsf,NN,NR,80,1580.0,0.847858538655998,-0.00025724800183600516,-0.018466056157381,0.5,0.5,1.0,False,ns
model+dataset+seq_len+pred_len,mse,ALL,shallow_ltsf,NN,RN,80,1536.0,0.6870305282254063,0.0001960646023939916,0.028159588225247167,0.45,0.55,1.0,False,ns
model+dataset+seq_len+pred_len,mse,ALL,shallow_ltsf,NN,RR,80,1367.0,0.2249537465429784,0.0029096822463116484,0.016251059705458613,0.4,0.6,1.0,False,ns
model+dataset+seq_len+pred_len,mse,ALL,shallow_ltsf,NR,RN,80,1473.0,0.48077649642439835,-0.00019690243127540308,0.04662564438262816,0.5125,0.4875,1.0,False,ns
