block_definition,metric,subgroup,family,case,n_blocks,median,mean,mean_rank,wins_best_count,wins_best_rate
model+dataset,owa,model=iTransformer,deep_m4_official,NN,6,1.1020395,1.4276710000000001,1.1666666666666667,6,1.0
model+dataset,owa,model=iTransformer,deep_m4_official,NR,6,1.1027390000000001,1.4349473333333336,1.8333333333333333,2,0.3333333333333333
model+dataset,owa,model=iTransformer,deep_m4_official,RN,6,6.9673085,9.939592333333334,3.3333333333333335,0,0.0
model+dataset,owa,model=iTransformer,deep_m4_official,RR,6,6.9673085,9.942979500000002,3.6666666666666665,0,0.0
model+dataset,smape,ALL,deep_m4_official,NN,42,13.088414499999999,14.286262595238096,1.2619047619047619,41,0.9761904761904762
model+dataset,smape,ALL,deep_m4_official,NR,42,13.160111,14.6425855952381,1.7380952380952381,21,0.5
model+dataset,smape,ALL,deep_m4_official,RN,42,72.044342,71.60468830952382,3.4642857142857144,0,0.0
model+dataset,smape,ALL,deep_m4_official,RR,42,72.044342,71.60365783333334,3.5357142857142856,0,0.0
model+dataset,smape,model=DLinear,deep_m4_official,NN,6,12.8190635,12.362766833333334,1.25,6,1.0
model+dataset,smape,model=DLinear,deep_m4_official,NR,6,12.8190635,12.574319333333333,1.75,3,0.5
model+dataset,smape,model=DLinear,deep_m4_official,RN,6,72.080946,72.68261783333334,3.5,0,0.0
model+dataset,smape,model=DLinear,deep_m4_official,RR,6,72.080946,72.68261783333334,3.5,0,0.0
model+dataset,smape,model=GRU,deep_m4_official,NN,6,12.748393,14.497674666666667,1.25,6,1.0
model+dataset,smape,model=GRU,deep_m4_official,NR,6,12.8069015,14.543962500000001,1.75,3,0.5
model+dataset,smape,model=GRU,deep_m4_official,RN,6,71.650812,71.03203916666668,3.4166666666666665,0,0.0
model+dataset,smape,model=GRU,deep_m4_official,RR,6,71.6552135,71.03350633333334,3.5833333333333335,0,0.0
model+dataset,smape,model=PatchTST,deep_m4_official,NN,6,12.433663,14.9364765,1.3333333333333333,6,1.0
model+dataset,smape,model=PatchTST,deep_m4_official,NR,6,12.4530215,16.738154499999997,1.6666666666666667,4,0.6666666666666666
model+dataset,smape,model=PatchTST,deep_m4_official,RN,6,71.549195,72.1546015,3.5833333333333335,0,0.0
model+dataset,smape,model=PatchTST,deep_m4_official,RR,6,71.549195,72.1377655,3.4166666666666665,0,0.0
model+dataset,smape,model=TimeFilter,deep_m4_official,NN,6,13.331324500000001,15.204933166666668,1.4166666666666667,6,1.0
model+dataset,smape,model=TimeFilter,deep_m4_official,NR,6,13.3334835,15.205652833333334,1.5833333333333333,5,0.8333333333333334
model+dataset,smape,model=TimeFilter,deep_m4_official,RN,6,72.0687745,71.45946483333334,3.4166666666666665,0,0.0
model+dataset,smape,model=TimeFilter,deep_m4_official,RR,6,72.0687745,71.45955049999999,3.5833333333333335,0,0.0
model+dataset,smape,model=TimeMixer,deep_m4_official,NN,6,13.1131135,12.786786833333332,1.0833333333333333,6,1.0
model+dataset,smape,model=TimeMixer,deep_m4_official,NR,6,13.2386085,13.13488833333333,1.9166666666666667,1,0.16666666666666666
model+dataset,smape,model=TimeMixer,deep_m4_official,RN,6,71.8785265,71.65380516666666,3.4166666666666665,0,0.0
model+dataset,smape,model=TimeMixer,deep_m4_official,RR,6,71.8785265,71.65380533333332,3.5833333333333335,0,0.0
model+dataset,smape,model=TimesNet,deep_m4_official,NN,6,12.918773000000002,15.487748000000002,1.3333333333333333,5,0.8333333333333334
model+dataset,smape,model=TimesNet,deep_m4_official,NR,6,12.9186835,15.487770333333332,1.6666666666666667,3,0.5
model+dataset,smape,model=TimesNet,deep_m4_official,RN,6,71.85979,70.34854566666667,3.5833333333333335,0,0.0
model+dataset,smape,model=TimesNet,deep_m4_official,RR,6,71.8611025,70.34898249999999,3.4166666666666665,0,0.0
model+dataset,smape,model=iTransformer,deep_m4_official,NN,6,12.830126499999999,14.727452166666666,1.1666666666666667,6,1.0
model+dataset,smape,model=iTransformer,deep_m4_official,NR,6,12.842399499999999,14.813351333333335,1.8333333333333333,2,0.3333333333333333
model+dataset,smape,model=iTransformer,deep_m4_official,RN,6,72.171411,71.90174400000001,3.3333333333333335,0,0.0
model+dataset,smape,model=iTransformer,deep_m4_official,RR,6,72.171673,71.90937683333334,3.6666666666666665,0,0.0
model+dataset,mase,ALL,deep_m4_official,NN,42,3.4794285,3.83565619047619,1.2857142857142858,40,0.9523809523809523
model+dataset,mase,ALL,deep_m4_official,NR,42,3.504381,4.007869261904761,1.7142857142857142,22,0.5238095238095238
model+dataset,mase,ALL,deep_m4_official,RN,42,19.224974500000002,31.774593809523815,3.4285714285714284,0,0.0
model+dataset,mase,ALL,deep_m4_official,RR,42,19.224974500000002,31.804307523809527,3.5714285714285716,0,0.0
model+dataset,mase,model=DLinear,deep_m4_official,NN,6,3.5950525,3.235220333333333,1.25,6,1.0
model+dataset,mase,model=DLinear,deep_m4_official,NR,6,3.9786270000000004,3.377053666666667,1.75,3,0.5
model+dataset,mase,model=DLinear,deep_m4_official,RN,6,20.2232245,32.20732783333334,3.5,0,0.0
model+dataset,mase,model=DLinear,deep_m4_official,RR,6,20.2232245,32.20732783333334,3.5,0,0.0
model+dataset,mase,model=GRU,deep_m4_official,NN,6,3.2974135,4.056388833333333,1.4166666666666667,5,0.8333333333333334
model+dataset,mase,model=GRU,deep_m4_official,NR,6,3.286851,4.0604975,1.5833333333333333,4,0.6666666666666666
model+dataset,mase,model=GRU,deep_m4_official,RN,6,18.6840865,31.65140883333333,3.4166666666666665,0,0.0
model+dataset,mase,model=GRU,deep_m4_official,RR,6,18.6840865,31.65330966666667,3.5833333333333335,0,0.0
model+dataset,mase,model=PatchTST,deep_m4_official,NN,6,3.6434784999999996,3.5557575,1.3333333333333333,6,1.0
model+dataset,mase,model=PatchTST,deep_m4_official,NR,6,3.6434784999999996,4.385691333333333,1.6666666666666667,4,0.6666666666666666
model+dataset,mase,model=PatchTST,deep_m4_official,RN,6,19.6968165,32.08193083333333,3.4166666666666665,0,0.0
model+dataset,mase,model=PatchTST,deep_m4_official,RR,6,20.2391665,32.26271416666666,3.5833333333333335,0,0.0
model+dataset,mase,model=TimeFilter,deep_m4_official,NN,6,3.8321104999999998,4.288369333333334,1.4166666666666667,6,1.0
model+dataset,mase,model=TimeFilter,deep_m4_official,NR,6,3.8321104999999998,4.288563666666667,1.5833333333333333,5,0.8333333333333334
model+dataset,mase,model=TimeFilter,deep_m4_official,RN,6,18.379646,31.537337000000004,3.4166666666666665,0,0.0
model+dataset,mase,model=TimeFilter,deep_m4_official,RR,6,18.4094415,31.547268833333334,3.5833333333333335,0,0.0
model+dataset,mase,model=TimeMixer,deep_m4_official,NN,6,3.319717,3.1176363333333335,1.0833333333333333,6,1.0
model+dataset,mase,model=TimeMixer,deep_m4_official,NR,6,3.3230955,3.3202201666666666,1.9166666666666667,1,0.16666666666666666
model+dataset,mase,model=TimeMixer,deep_m4_official,RN,6,18.879441,31.83559266666667,3.5,0,0.0
model+dataset,mase,model=TimeMixer,deep_m4_official,RR,6,18.879441,31.83559266666667,3.5,0,0.0
model+dataset,mase,model=TimesNet,deep_m4_official,NN,6,4.174225,4.504171333333334,1.3333333333333333,5,0.8333333333333334
model+dataset,mase,model=TimesNet,deep_m4_official,NR,6,4.1742265,4.504170666666666,1.6666666666666667,3,0.5
model+dataset,mase,model=TimesNet,deep_m4_official,RN,6,18.287739000000002,31.50312633333333,3.4166666666666665,0,0.0
model+dataset,mase,model=TimesNet,deep_m4_official,RR,6,18.287739000000002,31.503157333333334,3.5833333333333335,0,0.0
model+dataset,mase,model=iTransformer,deep_m4_official,NN,6,3.6184255,4.092049666666667,1.1666666666666667,6,1.0
model+dataset,mase,model=iTransformer,deep_m4_official,NR,6,3.657865,4.118887833333334,1.8333333333333333,2,0.3333333333333333
model+dataset,mase,model=iTransformer,deep_m4_official,RN,6,18.4325385,31.605433166666668,3.3333333333333335,0,0.0
model+dataset,mase,model=iTransformer,deep_m4_official,RR,6,18.4757565,31.620782166666668,3.6666666666666665,0,0.0
