source,model,dataset,case,lr,seq_len,pred_len,smape,mase,owa,result_dir
deep_m4,TimesNet,M4_Quarterly,NN,lr0p0001,,,11.915628,1.467176,1.075977,analysis_input/m4_official_eval_extracted/m4_results/TimesNet_NN_lr0p0001
deep_m4,TimesNet,M4_Monthly,NN,lr0p0001,,,13.796981,1.065637,0.979242,analysis_input/m4_official_eval_extracted/m4_results/TimesNet_NN_lr0p0001
deep_m4,TimesNet,M4_Weekly,NN,lr0p0001,,,12.040565,4.889749,1.537451,analysis_input/m4_official_eval_extracted/m4_results/TimesNet_NN_lr0p0001
deep_m4,TimesNet,M4_Daily,NN,lr0p0001,,,4.551441,5.08639,1.523038,analysis_input/m4_official_eval_extracted/m4_results/TimesNet_NN_lr0p0001
deep_m4,TimesNet,M4_Hourly,NN,lr0p0001,,,35.488365,11.057375,3.273646,analysis_input/m4_official_eval_extracted/m4_results/TimesNet_NN_lr0p0001
deep_m4,TimesNet,M4_Yearly,NR,lr0p0001,,,15.133517,3.458704,0.898147,analysis_input/m4_official_eval_extracted/m4_results/TimesNet_NR_lr0p0001
deep_m4,TimesNet,M4_Quarterly,NR,lr0p0001,,,11.915931,1.467213,1.076004,analysis_input/m4_official_eval_extracted/m4_results/TimesNet_NR_lr0p0001
deep_m4,TimesNet,M4_Monthly,NR,lr0p0001,,,13.796802,1.065592,0.979215,analysis_input/m4_official_eval_extracted/m4_results/TimesNet_NR_lr0p0001
deep_m4,TimesNet,M4_Weekly,NR,lr0p0001,,,12.040565,4.889749,1.537451,analysis_input/m4_official_eval_extracted/m4_results/TimesNet_NR_lr0p0001
deep_m4,TimesNet,M4_Daily,NR,lr0p0001,,,4.551441,5.08639,1.523038,analysis_input/m4_official_eval_extracted/m4_results/TimesNet_NR_lr0p0001
deep_m4,TimesNet,M4_Hourly,NR,lr0p0001,,,35.488366,11.057376,3.273647,analysis_input/m4_official_eval_extracted/m4_results/TimesNet_NR_lr0p0001
deep_m4,TimesNet,M4_Yearly,RN,lr0p0001,,,102.265303,20.36347,5.690732,analysis_input/m4_official_eval_extracted/m4_results/TimesNet_RN_lr0p0001
deep_m4,TimesNet,M4_Quarterly,RN,lr0p0001,,,81.068438,11.053848,7.711242,analysis_input/m4_official_eval_extracted/m4_results/TimesNet_RN_lr0p0001
deep_m4,TimesNet,M4_Monthly,RN,lr0p0001,,,62.971191,7.319222,5.623989,analysis_input/m4_official_eval_extracted/m4_results/TimesNet_RN_lr0p0001
deep_m4,TimesNet,M4_Weekly,RN,lr0p0001,,,80.748389,77.157392,18.297789,analysis_input/m4_official_eval_extracted/m4_results/TimesNet_RN_lr0p0001
deep_m4,TimesNet,M4_Daily,RN,lr0p0001,,,53.013977,56.912818,17.384271,analysis_input/m4_official_eval_extracted/m4_results/TimesNet_RN_lr0p0001
