dataset,architecture,capacity,condition,seed,run_id,status,duration_seconds,epochs_completed,best_val_mse,parameter_count,train_pairs,val_pairs,test_pairs,target_train_mean,target_train_std,mse,mae,none_mse,event_mse,separation_mse,predicted_separation_energy,true_separation_energy,ambiguity_floor,n_pairs
ETTm1,mlp,128,info50,2,ETTm1__mlp128__info50__seed2,completed,12.06453251838684,15,0.17980368435382843,28192,12000,2000,4000,17.124948501586914,9.173035621643066,0.19735164940357208,0.30792227387428284,0.06807548552751541,0.32662779092788696,0.251563161611557,0.1765259951353073,0.4473574757575989,0.11183936893939972,4000
ETTm1,mlp,128,placebo,0,ETTm1__mlp128__placebo__seed0,completed,5.214400768280029,7,0.3012530207633972,28192,12000,2000,4000,17.124948501586914,9.173035621643066,0.31596237421035767,0.39435675740242004,0.08960133045911789,0.5423233509063721,0.4473574757575989,0.0,0.4473574757575989,0.11183936893939972,4000
ETTm1,mlp,128,placebo,1,ETTm1__mlp128__placebo__seed1,completed,12.770174980163574,18,0.28782376646995544,28192,12000,2000,4000,17.124948501586914,9.173035621643066,0.2810215353965759,0.35301652550697327,0.05504975840449333,0.506993293762207,0.4473574757575989,0.0,0.4473574757575989,0.11183936893939972,4000
ETTm1,mlp,128,placebo,2,ETTm1__mlp128__placebo__seed2,completed,4.7487404346466064,6,0.3085637092590332,28192,12000,2000,4000,17.124948501586914,9.173035621643066,0.3548765480518341,0.44203296303749084,0.12868738174438477,0.5810656547546387,0.4473574757575989,0.0,0.4473574757575989,0.11183936893939972,4000
ETTm1,mlp,128,shuffled,0,ETTm1__mlp128__shuffled__seed0,completed,8.958955526351929,10,0.2844671905040741,28192,12000,2000,4000,17.124948501586914,9.173035621643066,0.31992968916893005,0.40311217308044434,0.09409849345684052,0.5457608103752136,0.4472811818122864,0.0002788516867440194,0.4473574757575989,0.11183936893939972,4000
ETTm1,mlp,128,shuffled,1,ETTm1__mlp128__shuffled__seed1,completed,13.91407060623169,16,0.28277021646499634,28192,12000,2000,4000,17.124948501586914,9.173035621643066,0.3007942736148834,0.3762580454349518,0.07487369328737259,0.5267148017883301,0.44754865765571594,0.0005827393615618348,0.4473574757575989,0.11183936893939972,4000
ETTm1,mlp,128,shuffled,2,ETTm1__mlp128__shuffled__seed2,completed,15.86106014251709,18,0.2828623950481415,28192,12000,2000,4000,17.124948501586914,9.173035621643066,0.3199925720691681,0.40588924288749695,0.0941479504108429,0.5458372235298157,0.447323739528656,0.00037445599446073174,0.4473574757575989,0.11183936893939972,4000
ETTm1,mlp,32,info0,0,ETTm1__mlp32__info0__seed0,completed,12.990453004837036,18,0.28648972511291504,5584,12000,2000,4000,17.124948501586914,9.173035621643066,0.34912264347076416,0.4389844536781311,0.12314402312040329,0.5751011371612549,0.4473574757575989,0.0,0.4473574757575989,0.11183936893939972,4000
ETTm1,mlp,32,info0,1,ETTm1__mlp32__info0__seed1,completed,12.825334310531616,18,0.28608885407447815,5584,12000,2000,4000,17.124948501586914,9.173035621643066,0.3430381715297699,0.431765615940094,0.11701900511980057,0.5690573453903198,0.4473574757575989,0.0,0.4473574757575989,0.11183936893939972,4000
ETTm1,mlp,32,info0,2,ETTm1__mlp32__info0__seed2,completed,13.202647686004639,18,0.28523820638656616,5584,12000,2000,4000,17.124948501586914,9.173035621643066,0.33833014965057373,0.42691218852996826,0.11252065747976303,0.5641397833824158,0.4473574757575989,0.0,0.4473574757575989,0.11183936893939972,4000
