model,dataset,seq_len,pred_len,lr_tag,NN,NR,RN,RR,RN_vs_NN,NR_vs_NN,RR_vs_NN,RN_vs_NR,train_main,test_main,interaction,abs_log_interaction,formal_lr
DLinear,ETTh2,96,96,0p0001,0.37983036041259766,0.3826906085014343,0.3786773383617401,0.3815249502658844,0.9969643762820722,1.007530330344656,1.0044614386576312,0.9895130163883309,0.9969592108064778,1.0075251101247007,0.9999896376192859,1.0362434403895308e-05,False
DLinear,ETTh2,96,96,0p0003,0.37878885865211487,0.3818530738353729,0.3800695836544037,0.38318145275115967,1.0033811052596588,1.0080895071575278,1.0115964184233808,0.9953293811070952,1.0034299363082098,1.008138567347529,1.0000973353723988,9.7330635618763e-05,False
DLinear,ETTh2,96,96,0p001,0.34844374656677246,0.3508259654045105,0.3428446054458618,0.34587720036506653,0.9839310041403263,1.0068367386736312,0.9926342595411908,0.9772498026209492,0.9849119931300566,1.0078405649083353,1.0019950139054188,0.0019930265079953977,False
DLinear,ETTh2,96,96,0p003,0.3174961507320404,0.3202788233757019,0.32197776436805725,0.3242712914943695,1.014115489670296,1.00876442954425,1.0213392847337137,1.0053045686082167,1.0132902096842002,1.0079435042128968,0.9983730764572645,0.0016282484200201672,False
DLinear,ETTh2,96,96,0p005,0.3157026171684265,0.3184625804424286,0.3477471172809601,0.34228163957595825,1.10150216808446,1.0087422882292092,1.0841900603989985,1.0919559742241853,1.0880660888232694,0.9964376902615697,0.9757528704523861,0.024545931134926417,True
DLinear,ETTh2,96,96,0p01,0.2923448383808136,0.29377269744873047,0.3337278366088867,0.33470621705055237,1.1415554263152985,1.0048841603492138,1.1449020920101147,1.1360069860376636,1.1404458666910176,1.00390744133435,0.9980570012311074,0.0019448888396675016,False
DLinear,ETTh2,96,192,0p0001,0.45683008432388306,0.45781275629997253,0.45440199971199036,0.45540308952331543,0.9946849283897615,1.0021510666871773,0.9968763116757523,0.9925498873916319,0.9947107473517883,1.0021770794471956,1.000051914523645,5.191317613281212e-05,False
DLinear,ETTh2,96,192,0p0003,0.5033238530158997,0.5089852213859558,0.5031565427780151,0.502872109413147,0.9996675892928937,1.0112479635847444,0.9991024792486073,0.9885484325221284,0.9938114457935082,1.0053239812013581,0.9883181356447459,0.011750633424596348,False
DLinear,ETTh2,96,192,0p001,0.4570724666118622,0.45621001720428467,0.44216227531433105,0.44087740778923035,0.9673789335681149,0.9981131013776205,0.9645678530087781,0.969207730299216,0.9668850084339015,0.9976034839666441,0.9989790990423147,0.001021422432013929,False
DLinear,ETTh2,96,192,0p003,0.48059210181236267,0.46738728880882263,0.4398052394390106,0.4390926957130432,0.9151320585179396,0.9725238659692007,0.9136494213225292,0.9409867362030592,0.9272173353664719,0.9853670617163558,1.0265864933951216,0.02623921441921683,False
DLinear,ETTh2,96,192,0p01,0.4349028170108795,0.4343608617782593,0.3813944160938263,0.38053473830223083,0.8769646945843659,0.9987538475001263,0.8749879821834113,0.8780588898650075,0.8765220911541187,0.9982497771748258,0.9989908562062567,0.001009653322161979,False
DLinear,ETTh2,96,336,0p0001,0.48809194564819336,0.49620670080184937,0.48873114585876465,0.496743768453598,1.0013095897530586,1.016625464169214,1.0177258053171006,0.9849345949359318,1.0011959617456732,1.0165100981256516,0.9997730540857107,0.00022697167041020027,False
