model,dataset,seq_len,pred_len,NN,NR,RN,RR,RN_vs_NN,NR_vs_NN,RR_vs_NN,RN_vs_NR,train_main,test_main,interaction,abs_log_interaction
OLS,ETTm1,96,192,0.38086127153255,0.3841789914454893,0.3809772292417238,0.3843457080948239,1.0003044618023438,1.0087110981370961,1.009148834031491,0.9916659622856556,1.0003692066378722,1.0087763870932474,1.00012945444774,0.00012944606923599164
OLS,ETTm1,96,336,0.4124151215066102,0.4191372080359899,0.4125262342583425,0.419232224250175,1.0002694196840465,1.0162993211908016,1.0165297109346063,0.9842271846762892,1.0002480570003471,1.0162776161576224,0.9999572865966742,4.271431556923333e-05
OLS,ETTm1,96,720,0.4710537215784853,0.4842606189434197,0.4705587983107813,0.4835124034151342,0.9989493273377704,1.0280369239429392,1.0264485371114367,0.9717056888447101,0.9987020991354296,1.0277824969027571,0.9995050847875049,0.0004950377234522553
OLS,ETTm1,336,96,0.2992891608722617,0.2949058947022086,0.2993566938899034,0.2950407320783633,1.000225644715782,0.9853544105731117,0.9858049359972924,1.0150922693226905,1.0003414265094699,0.9854684709370677,1.0002315247474394,0.00023149794972117618
OLS,ETTm1,336,192,0.3339970511365642,0.3295828099024448,0.3338923138882987,0.3295479555294053,0.9996864126557133,0.9867835921931104,0.9866792368614663,1.0130756333654947,0.9997903244240829,0.9868861627860132,1.000207899532444,0.0002078779243309643
OLS,ETTm1,336,336,0.3683715701110567,0.3670069194722185,0.3679123416372462,0.3665926495061832,0.998753355277466,0.996295450709112,0.9951708526140136,1.0024670438539136,0.9988122860425521,0.9963542364472043,1.0001180121265372,0.00011800516365396311
OLS,ETTm1,336,720,0.4232985784772411,0.4249134428200307,0.4219765873776138,0.4230568202461233,0.9968769299807644,1.0038149533801857,0.9994288706756647,0.9930883442450636,0.9962535632909976,1.0031872482083555,0.9987497518112447,0.001251030401063028
OLS,ETTm2,96,96,0.1979340029975327,0.198582307078238,0.1992053758936126,0.1998613677212344,1.0064232162075546,1.0032753547692026,1.009737410927448,1.0031375847352257,1.0064320879297124,1.0032841987426442,1.0000176302794244,1.7630124012813577e-05
OLS,ETTm2,96,192,0.2882235720064894,0.2891655595883149,0.2904148296023252,0.2913616052876938,1.0076026314592563,1.0032682530969546,1.0108874970196182,1.0043202586635451,1.0075985274336632,1.0032641667255429,0.999991853897346,8.146135833657493e-06
OLS,ETTm2,96,336,0.3892003210510681,0.3905345580414141,0.3924259853146336,0.393749445001072,1.0082879280645358,1.0034281497680753,1.0116883869409938,1.0048431751666362,1.0082599719382899,1.0034003283856576,0.9999445481039543,5.5453433558948236e-05
OLS,ETTm2,96,720,0.5567356044643684,0.564651082369348,0.5628065727613996,0.5707064955676765,1.0109045806453711,1.0142176606660445,1.0250943014804117,0.9967333639028749,1.0108143704124108,1.0141271547833006,0.9998215336845123,0.0001784822424955461
OLS,ETTm2,336,96,0.1723400045386296,0.1746923639084038,0.1730647813392127,0.1754391603290995,1.0042055052889396,1.0136495259825,1.0179827997496382,0.9906831498940359,1.0042402135913107,1.0136845606980645,1.0000691270900206,6.912470085342037e-05
OLS,ETTm2,336,192,0.2409788286341926,0.2430891786465447,0.2422289910108409,0.244347698633591,1.0051878514960584,1.0087574083761344,1.0139799418002498,0.99646143180666,1.005182523042214,1.0087520610002356,0.9999893981215279,1.0601934672438134e-05
OLS,ETTm2,336,336,0.318876283687788,0.3205916063883541,0.3209317093684585,0.3226386948023987,1.006445840552642,1.005379273368118,1.0117989681487085,1.0010608605257507,1.0064155929505527,1.0053490578205104,0.9999398931440887,6.01086624007429e-05
