model,dataset,seq_len,pred_len,NN,NR,RN,RR,best_case,worst_case
DLinear,weather,336,96,0.17500102519989014,0.17289459705352783,0.17304538190364838,0.1727963387966156,RR,NN
DLinear,weather,336,336,0.26749658584594727,0.2550147473812103,0.27404898405075073,0.2494676560163498,RR,RN
GRU,ETTh1,96,96,0.4432505965232849,0.6094034314155579,0.509505569934845,0.4230039715766907,RR,NR
GRU,ETTh1,96,336,0.7130923867225647,0.7245311141014099,0.7154309749603271,0.7175888419151306,NN,NR
GRU,ETTh1,336,96,0.47397828102111816,0.579643726348877,0.6522915959358215,0.45725393295288086,RR,RN
GRU,ETTh1,336,336,0.7138274908065796,0.6907813549041748,0.7071843147277832,0.6828442811965942,RR,NN
GRU,ETTh2,96,96,0.3592431843280792,0.35215994715690613,0.34300604462623596,0.3497997224330902,RN,NN
GRU,ETTh2,96,336,0.4614909589290619,0.4815264344215393,0.45887911319732666,0.47217729687690735,RN,NR
GRU,ETTh2,336,96,0.37112119793891907,0.3105473518371582,0.370779812335968,0.34039175510406494,NR,NN
GRU,ETTh2,336,336,0.42046475410461426,0.3805564343929291,0.3934308588504791,0.4001079499721527,NR,NN
GRU,ETTm1,96,96,0.38134267926216125,0.5389611721038818,0.5688241124153137,0.37668636441230774,RR,RN
GRU,ETTm1,96,336,0.4464535415172577,0.6451717019081116,0.6457016468048096,0.4542636275291443,NN,RN
GRU,ETTm1,336,96,0.3950065076351166,0.5636236667633057,0.5755872130393982,0.40173205733299255,NN,RN
GRU,ETTm1,336,336,0.4638032615184784,0.6143184900283813,0.6176576018333435,0.43903928995132446,RR,RN
GRU,ETTm2,96,96,0.19894269108772278,0.2170596867799759,0.21586938202381134,0.19160383939743042,RR,NR
GRU,ETTm2,96,336,0.32843759655952454,0.33873113989830017,0.3312671482563019,0.33056381344795227,NN,NR
GRU,ETTm2,336,96,0.24220284819602966,0.23513157665729523,0.22276344895362854,0.22738157212734222,RN,NN
GRU,ETTm2,336,336,0.3222545087337494,0.3388790190219879,0.326075941324234,0.33813491463661194,NN,NR
GRU,electricity,96,96,0.3053362965583801,0.8550247550010681,0.8669112324714661,0.27046847343444824,RR,RN
GRU,electricity,96,336,0.3985254764556885,0.8639839887619019,0.8630397319793701,0.8236969709396362,NN,NR
GRU,electricity,336,96,0.26127180457115173,0.9893072843551636,1.0078023672103882,0.2491573542356491,RR,RN
GRU,electricity,336,336,0.8175690174102783,0.8417587876319885,0.8612418174743652,0.8032966256141663,RR,RN
GRU,exchange_rate,96,96,0.10968121141195297,0.10914676636457443,0.10009797662496567,0.10975650697946548,RN,RR
GRU,exchange_rate,96,336,0.3974972069263458,0.31778186559677124,0.3392960727214813,0.3219267427921295,NR,NN
GRU,exchange_rate,336,96,0.19395747780799866,0.1807098388671875,0.1604161411523819,0.16497784852981567,RN,NN
GRU,exchange_rate,336,336,0.45817670226097107,0.5026340484619141,0.36335694789886475,0.4335835874080658,RN,NR
GRU,illness,96,96,4.221892356872559,3.168595552444458,5.065069675445557,2.1117184162139893,RR,RN
GRU,illness,336,96,4.841673374176025,1.344730257987976,5.673738479614258,0.7615788578987122,RR,RN
