model,seasonal_pattern,smape_RN_vs_NN,smape_NR_vs_NN,smape_RR_vs_NN,smape_RN_vs_NR,smape_train_main,smape_test_main,smape_interaction,smape_abs_log_interaction,mase_RN_vs_NN,mase_NR_vs_NN,mase_RR_vs_NN,mase_RN_vs_NR,mase_train_main,mase_test_main,mase_interaction,mase_abs_log_interaction,owa_context_RN_vs_NN,owa_context_NR_vs_NN,owa_context_RR_vs_NN,owa_context_RN_vs_NR,owa_context_train_main,owa_context_test_main,owa_context_interaction,owa_context_abs_log_interaction
TimesNet,Monthly,4.564128243536165,1.045085967283786,4.564122040995361,4.36722756444476,4.464589520317049,1.0222937674841928,0.9568577823535586,0.044100506353438707,6.868399984842171,1.078910852037743,6.864692783071531,6.366049587757687,6.61067127164524,1.0384259783897969,0.9263603666651993,0.07649195517573731,1.1915318071791887,0.9288875052139585,1.1941694144994683,1.282751463972737,1.2376681965214504,0.9648542459568419,1.0789397226900577,0.07597882066555056
TimesNet,Quarterly,6.80353856657245,1.022442027023044,6.79973452722689,6.6542047243321205,6.726576069240384,1.0108760322091723,0.9775037087589521,0.022753193003008685,7.534096010639893,1.026563668477885,7.533714675876817,7.339141489208274,7.43579168250327,1.0131691415729094,0.9740743961337256,0.026267596189083458,1.0841471079724283,0.9409262501721639,1.0837631903505145,1.152212628539228,1.1174639297390436,0.9698417653656176,1.0624061984945286,0.06053633414933798
TimesNet,Weekly,6.706362198202412,1.0204365295822493,6.734291991783716,6.572052257819397,6.652677572933869,1.0122679053591734,0.9840540220788377,0.016074482950236467,15.779419175786899,1.0033191816166303,15.784423623119519,15.727217683969524,15.755794690741295,1.0018170414720526,0.9970078999944842,0.0029965852859099953,0.6347158688627338,1.0106355479013795,0.6361192858851799,0.6280363580924337,0.6320649014299782,1.0064145065578376,0.9916642027722542,0.008370734273010761
TimesNet,Yearly,6.757541052688231,1.0294544506919256,6.737318194707751,6.56419625768415,6.650193897964777,1.0131010160124259,0.9684812802755263,0.03202612489645856,5.887606416187423,1.0361357267950717,5.887292686052427,5.682273339226225,5.78387467621639,1.0178804029522452,0.9650730957417621,0.03555143362914631,1.0892292656754332,1.032691340175974,1.0875697666839999,1.0547481355753645,1.0710332318458111,1.015439796214063,0.966868228402909,0.03369306127037611
iTransformer,Daily,14.128619694050354,1.02262522226764,14.124328038835566,13.816028967797777,13.969328020174432,1.0110957390675688,0.9775783171343195,0.022676870501532498,13.822846026643484,1.0205894638742794,13.82157398899629,13.543982684448174,13.68207435949626,1.010195795303744,0.9797357420389117,0.020472394660584432,0.789549666756914,1.0215977887168435,0.7893936186754551,0.7728576505129394,0.7810818762840548,1.0106413202556215,0.9786653506509203,0.021565522619482764
iTransformer,Hourly,1.1947237268554851,1.0163704822216788,1.2038975539483134,1.1754805435159283,1.1896041993254143,1.0120152187013163,0.9914481339319788,0.008588643099587312,1.4981157968493204,1.0119076517812247,1.5593425458710557,1.4804866770324754,1.519403127577405,1.0262862551542407,1.0286207126326254,0.028218790878303486,0.15307383396877708,0.13561884557197715,0.2058295186338435,1.128706215741499,0.48199694715329877,0.42703490104965247,9.914861575428338,2.2940348007475584
iTransformer,Monthly,4.648266661284275,1.0700601546628359,4.648608460868531,4.343930237033162,4.493687890062571,1.0344751515005202,0.9345956190772955,0.06764133621096671,7.071293542226237,1.1187774997454847,7.06624084332672,6.320553947353174,6.683005046776257,1.0573448312350637,0.8931941011564193,0.11295136320675143,1.2199831403446841,0.957058225978629,1.2226224480644394,1.274721962811828,1.2484004512873683,0.9793511743797063,1.0471289725925292,0.04605210729390755
iTransformer,Quarterly,7.696162617021836,1.071531870820805,7.6977606576973745,7.182392634879345,7.435612917097662,1.0352557003064162,0.9334371365587846,0.06888165992963104,8.73129254938772,1.1022495756107187,8.731840037383945,7.921338998520376,8.316722011524195,1.0499136589252993,0.9072924374351978,0.09729045808300069,1.2408507074592134,0.9978086820356926,1.2409604929669436,1.243575777400208,1.242267446955088,0.9989479286514769,1.0022848006895362,0.002282194501432726
iTransformer,Weekly,6.726434273471313,1.0230958798944276,6.776697241060648,6.574588370119728,6.674877891684595,1.0152541141618332,0.9847292647123316,0.015388533750544713,16.549129336842736,1.0066743967274492,16.561485658502903,16.439406217781567,16.500333036338777,1.0037061447201974,0.9941115499422495,0.0059058553401833145,0.6530585039984822,1.0138872573576378,0.6557120359211396,0.6441135335899807,0.6498869105272437,1.008963290842664,0.990310540345255,0.009736707923463431
iTransformer,Yearly,7.871094927218573,1.1406357862169068,7.881709872487335,6.9006207084947455,7.374868837100331,1.068725430456101,0.87788635987394,0.13023812439138632,6.863518992207947,1.1994296122931034,6.863072130368462,5.72231911056963,6.266792545539166,1.0951490863142963,0.8336753427960403,0.18191122963441075,1.2687337906716796,1.1687366954798626,1.2695596846088706,1.0855599859049176,1.173960473495363,1.0814330748537633,0.8561816900873016,0.15527267058836763
