dataset,condition,base_start,mse
ETTm1,target_history,46561,0.022605717440257068
ETTm1,target_history,46563,0.02048545394902181
ETTm1,target_history,46566,0.02074485348791228
ETTm1,target_history,46569,0.02791941323573646
ETTm1,target_history,46572,0.044036897372706836
ETTm1,target_history,46575,0.03666137529842529
ETTm1,target_history,46578,0.0146732746510257
ETTm1,target_history,46581,0.014993824308166065
ETTm1,target_history,46583,0.016576343053652656
ETTm1,target_history,46586,0.035428469082438574
ETTm1,target_history,46589,0.03521072567981159
ETTm1,target_history,46592,0.03504010458388773
ETTm1,target_history,46595,0.034073130068031234
ETTm1,target_history,46598,0.036704938736372254
ETTm1,target_history,46601,0.035443959800348764
ETTm1,target_history,46603,0.014956648280014825
ETTm1,target_history,46606,0.012120055093932713
ETTm1,target_history,46609,0.0078052712982847145
ETTm1,target_history,46612,0.006770696945969143
ETTm1,target_history,46615,0.02249569426475824
ETTm1,target_history,46618,0.01767910014677995
ETTm1,target_history,46621,0.016401583214514057
ETTm1,target_history,46623,0.017842673605224967
ETTm1,target_history,46626,0.029862912198352312
ETTm1,target_history,46629,0.037867222983381146
ETTm1,target_history,46632,0.021151125128693143
ETTm1,target_history,46635,0.020531480925980644
ETTm1,target_history,46638,0.01949149374645805
ETTm1,target_history,46641,0.019969797035763584
ETTm1,target_history,46643,0.016893272605097334
ETTm1,target_history,46646,0.018699700043099513
ETTm1,target_history,46649,0.021829041792828987
ETTm1,target_history,46652,0.025832831515132146
ETTm1,target_history,46655,0.018735457029022577
ETTm1,target_history,46658,0.021173857750564674
ETTm1,target_history,46661,0.022955623798037728
ETTm1,target_history,46663,0.022917968543486125
ETTm1,target_history,46666,0.02499193040825853
ETTm1,target_history,46669,0.0251295448601806
ETTm1,target_history,46672,0.02142026133058941
ETTm1,target_history,46675,0.02378979982402407
ETTm1,target_history,46678,0.027070715520553224
ETTm1,target_history,46681,0.030756559901521475
ETTm1,target_history,46683,0.027995603755180874
ETTm1,target_history,46686,0.025474780349200348
ETTm1,target_history,46689,0.02421625541347037
ETTm1,target_history,46692,0.0236012826111943
ETTm1,target_history,46695,0.0229574631838499
ETTm1,target_history,46698,0.01870231607888862
ETTm1,target_history,46701,0.019770074616759132
ETTm1,target_history,46703,0.018198513880452332
ETTm1,target_history,46706,0.02024841316154334
ETTm1,target_history,46709,0.023392040699087163
ETTm1,target_history,46712,0.03514477833365932
ETTm1,target_history,46715,0.045879431896155114
ETTm1,target_history,46718,0.05581745455594971
ETTm1,target_history,46721,0.06539250872466028
ETTm1,target_history,46723,0.07357003504802401
ETTm1,target_history,46726,0.0832519704690914
ETTm1,target_history,46729,0.09100760746067353
ETTm1,target_history,46732,0.09546609609119587
ETTm1,target_history,46735,0.09971317466569658
ETTm1,target_history,46738,0.10439948026681341
ETTm1,target_history,46741,0.10709725890572393
ETTm1,target_history,46743,0.10907294782172278
ETTm1,target_history,46746,0.11160396190453829
ETTm1,target_history,46749,0.11431363879411165
ETTm1,target_history,46752,0.11700540055081532
ETTm1,target_history,46755,0.0719258743210502
ETTm1,target_history,46758,0.06496520626402306
ETTm1,target_history,46761,0.07150902725657848
ETTm1,target_history,46763,0.07610849310000138
ETTm1,target_history,46766,0.07561372365737089
ETTm1,target_history,46769,0.07207948346762703
ETTm1,target_history,46772,0.07596938980636922
