dataset,seed,condition,base_alpha,residual_alpha,mse,residual_mse,none_mse,event_mse,separation_mse,n_test_pairs
ETTh2,8,delayed50,0.1,10.0,0.24739735818029762,0.11893407252188992,0.1279290539913804,0.3668656623692148,0.23786815142477502,2785
ETTh2,8,shuffled,0.1,100.0,0.28335099661404484,0.15318078882584593,0.12854017991986086,0.438161813308229,0.30650000383729004,2785
ETTh2,8,misleading_test,0.1,,0.4784138566305007,0.34969859120543834,0.12792824071345923,0.8288994725475423,0.6993972146732985,2785
ETTh2,8,latent_oracle_upper_bound,0.1,,0.12792798923292534,0.0,0.12792798923292537,0.12792798923292537,0.0,2785
ETTh2,9,history,0.1,0.1,0.2826340390775703,0.15635849676267968,0.12758304111025198,0.4376850370448886,0.31275256433431464,2785
ETTh2,9,clean,0.1,0.1,0.21204746127241877,0.08352865570911912,0.12792798973106895,0.29616693281376855,0.16705731136866836,2785
ETTh2,9,noisy,0.1,10.0,0.236640736191997,0.10938139264571062,0.12792804041022868,0.34535343197376533,0.21876278477613054,2785
ETTh2,9,delayed50,0.1,10.0,0.24718573855012912,0.11947323721277374,0.12792704028167715,0.3664444368185811,0.23894650445153376,2785
ETTh2,9,shuffled,0.1,100.0,0.2827154429048525,0.15663991628959156,0.12743610393817473,0.43799478187153035,0.31330941341409724,2785
ETTh2,9,misleading_test,0.1,,0.48917547035193354,0.36354884684993494,0.12792798973106895,0.8504229509727981,0.7270976937919503,2785
ETTh2,9,latent_oracle_upper_bound,0.1,,0.12792798923292534,0.0,0.12792798923292537,0.12792798923292537,0.0,2785
ETTh1,0,history,100.0,0.1,0.2157007564839591,0.15500736145347163,0.06084595569997386,0.3705555572679443,0.310006972853563,2785
ETTh1,0,clean,100.0,0.1,0.14036497207968318,0.08043552113744412,0.060862650330363345,0.21986729382900305,0.16087104249211248,2785
ETTh1,0,noisy,100.0,100.0,0.17218824632413182,0.11218448542765973,0.06086369578707152,0.28351279686119185,0.22436898933905822,2785
ETTh1,0,delayed50,100.0,10.0,0.1801235119762716,0.11989526030069902,0.06086250179174887,0.29938452216079425,0.239790518762683,2785
ETTh1,0,shuffled,100.0,100.0,0.21580439885009786,0.15514233298561966,0.06084507481824338,0.37076372288195236,0.3102537313247669,2785
ETTh1,0,misleading_test,100.0,,0.42948489907073456,0.3688094523142901,0.060862650330363345,0.7981071478111058,0.7376189045390819,2785
ETTh1,0,latent_oracle_upper_bound,100.0,,0.060862648089844436,0.0,0.06086264808984446,0.06086264808984446,0.0,2785
ETTh1,1,history,100.0,0.1,0.21086092651835597,0.15166362429215505,0.060937036656209025,0.360784816380503,0.3033222325679013,2785
ETTh1,1,clean,100.0,100.0,0.14523291508157968,0.0861452868997343,0.06086258430268192,0.22960324586047762,0.1722905832072482,2785
ETTh1,1,noisy,100.0,100.0,0.1727587862196428,0.11384929062263861,0.060859742995190015,0.2846578294440956,0.22769850659618743,2785
ETTh1,1,delayed50,100.0,100.0,0.17923154185715923,0.12071779746930218,0.0608598266445839,0.29760325706973445,0.2414354901279731,2785
ETTh1,1,shuffled,100.0,100.0,0.2111464070801201,0.15191180553199476,0.061158723168160276,0.36113409099207994,0.3033635612076268,2785
