source,model,case,lr_tag,group,series_count,smape,mase,owa,naive_smape,naive_mase,forecast_dir
deep_tsl,TimesNet,NR,lr0p0001,Others,5000,7.650737,5.566669,1.682824,4.754339,3.169299,analysis_input/m4_official_eval_extracted/m4_results/TimesNet_NR_lr0p0001
deep_tsl,TimesNet,NR,lr0p0001,Average,100000,13.345534,1.937451,0.99857,13.564071,1.912112,analysis_input/m4_official_eval_extracted/m4_results/TimesNet_NR_lr0p0001
deep_tsl,TimesNet,RN,lr0p0001,Yearly,23000,102.265303,20.36347,5.690732,16.342173,3.97436,analysis_input/m4_official_eval_extracted/m4_results/TimesNet_RN_lr0p0001
deep_tsl,TimesNet,RN,lr0p0001,Quarterly,24000,81.068438,11.053848,7.711242,11.01157,1.371382,analysis_input/m4_official_eval_extracted/m4_results/TimesNet_RN_lr0p0001
deep_tsl,TimesNet,RN,lr0p0001,Monthly,48000,62.971191,7.319222,5.623989,14.426829,1.063359,analysis_input/m4_official_eval_extracted/m4_results/TimesNet_RN_lr0p0001
deep_tsl,TimesNet,RN,lr0p0001,Others,5000,54.095335,54.996351,14.365472,4.754339,3.169299,analysis_input/m4_official_eval_extracted/m4_results/TimesNet_RN_lr0p0001
deep_tsl,TimesNet,RN,lr0p0001,Average,100000,75.908383,13.599566,6.354305,13.564071,1.912112,analysis_input/m4_official_eval_extracted/m4_results/TimesNet_RN_lr0p0001
deep_tsl,TimesNet,RR,lr0p0001,Yearly,23000,102.265303,20.36347,5.690732,16.342173,3.97436,analysis_input/m4_official_eval_extracted/m4_results/TimesNet_RR_lr0p0001
deep_tsl,TimesNet,RR,lr0p0001,Quarterly,24000,81.068435,11.053848,7.711242,11.01157,1.371382,analysis_input/m4_official_eval_extracted/m4_results/TimesNet_RR_lr0p0001
deep_tsl,TimesNet,RR,lr0p0001,Monthly,48000,62.973816,7.319408,5.624168,14.426829,1.063359,analysis_input/m4_official_eval_extracted/m4_results/TimesNet_RR_lr0p0001
deep_tsl,TimesNet,RR,lr0p0001,Others,5000,54.095335,54.996351,14.365472,4.754339,3.169299,analysis_input/m4_official_eval_extracted/m4_results/TimesNet_RR_lr0p0001
deep_tsl,TimesNet,RR,lr0p0001,Average,100000,75.909643,13.599655,6.354375,13.564071,1.912112,analysis_input/m4_official_eval_extracted/m4_results/TimesNet_RR_lr0p0001
deep_tsl,iTransformer,NN,lr0p0001,Yearly,23000,14.003329,3.117963,0.820701,16.342173,3.97436,analysis_input/m4_official_eval_extracted/m4_results/iTransformer_NN_lr0p0001
deep_tsl,iTransformer,NN,lr0p0001,Quarterly,24000,10.781884,1.288631,0.9594,11.01157,1.371382,analysis_input/m4_official_eval_extracted/m4_results/iTransformer_NN_lr0p0001
deep_tsl,iTransformer,NN,lr0p0001,Monthly,48000,13.598123,1.035437,0.958149,14.426829,1.063359,analysis_input/m4_official_eval_extracted/m4_results/iTransformer_NN_lr0p0001
deep_tsl,iTransformer,NN,lr0p0001,Others,5000,6.869171,4.67204,1.459489,4.754339,3.169299,analysis_input/m4_official_eval_extracted/m4_results/iTransformer_NN_lr0p0001
deep_tsl,iTransformer,NN,lr0p0001,Average,100000,12.678975,1.757014,0.926817,13.564071,1.912112,analysis_input/m4_official_eval_extracted/m4_results/iTransformer_NN_lr0p0001
deep_tsl,iTransformer,NR,lr0p0001,Yearly,23000,14.337922,3.196842,0.840862,16.342173,3.97436,analysis_input/m4_official_eval_extracted/m4_results/iTransformer_NR_lr0p0001
deep_tsl,iTransformer,NR,lr0p0001,Quarterly,24000,10.785664,1.289764,0.959984,11.01157,1.371382,analysis_input/m4_official_eval_extracted/m4_results/iTransformer_NR_lr0p0001
deep_tsl,iTransformer,NR,lr0p0001,Monthly,48000,13.622669,1.039261,0.960799,14.426829,1.063359,analysis_input/m4_official_eval_extracted/m4_results/iTransformer_NR_lr0p0001
deep_tsl,iTransformer,NR,lr0p0001,Others,5000,6.881796,4.678432,1.461825,4.754339,3.169299,analysis_input/m4_official_eval_extracted/m4_results/iTransformer_NR_lr0p0001
deep_tsl,iTransformer,NR,lr0p0001,Average,100000,12.769252,1.777584,0.935523,13.564071,1.912112,analysis_input/m4_official_eval_extracted/m4_results/iTransformer_NR_lr0p0001
deep_tsl,iTransformer,RN,lr0p0001,Yearly,23000,110.221531,21.400196,6.064585,16.342173,3.97436,analysis_input/m4_official_eval_extracted/m4_results/iTransformer_RN_lr0p0001
deep_tsl,iTransformer,RN,lr0p0001,Quarterly,24000,82.979129,11.251414,7.870032,11.01157,1.371382,analysis_input/m4_official_eval_extracted/m4_results/iTransformer_RN_lr0p0001
deep_tsl,iTransformer,RN,lr0p0001,Monthly,48000,63.2077,7.321876,5.633434,14.426829,1.063359,analysis_input/m4_official_eval_extracted/m4_results/iTransformer_RN_lr0p0001
deep_tsl,iTransformer,RN,lr0p0001,Others,5000,54.05353,54.96036,14.355397,4.754339,3.169299,analysis_input/m4_official_eval_extracted/m4_results/iTransformer_RN_lr0p0001
deep_tsl,iTransformer,RN,lr0p0001,Average,100000,78.308315,13.884903,6.517384,13.564071,1.912112,analysis_input/m4_official_eval_extracted/m4_results/iTransformer_RN_lr0p0001
deep_tsl,iTransformer,RR,lr0p0001,Yearly,23000,110.221531,21.400196,6.064585,16.342173,3.97436,analysis_input/m4_official_eval_extracted/m4_results/iTransformer_RR_lr0p0001
deep_tsl,iTransformer,RR,lr0p0001,Quarterly,24000,82.979129,11.251414,7.870032,11.01157,1.371382,analysis_input/m4_official_eval_extracted/m4_results/iTransformer_RR_lr0p0001
deep_tsl,iTransformer,RR,lr0p0001,Monthly,48000,63.2077,7.321876,5.633434,14.426829,1.063359,analysis_input/m4_official_eval_extracted/m4_results/iTransformer_RR_lr0p0001
deep_tsl,iTransformer,RR,lr0p0001,Others,5000,54.057316,54.967923,14.356988,4.754339,3.169299,analysis_input/m4_official_eval_extracted/m4_results/iTransformer_RR_lr0p0001
deep_tsl,iTransformer,RR,lr0p0001,Average,100000,78.308505,13.885281,6.51749,13.564071,1.912112,analysis_input/m4_official_eval_extracted/m4_results/iTransformer_RR_lr0p0001
